"codigo","indice","fecha","tmax","tmin","ts07","ts14","ts21","ts","th07","th14","th21","th","pvp07","pvp14","pvp21","pvp","hr07","hr14","hr21","hr","p07","p14","p21","pd","fray","ftea","ftee","fgra","fchu","prn07","prn14","prn21","prn","rd07","rd14","rd21","rd","sa07","sa14","sa21","sa","nub07","nub14","nub21","nub","vis07","vis14","vis21","es07","es14","es21","er07","er21","pa07","pa14","pa21","pa","evap","ls07","ls08","ls09","ls10","ls11","ls12","ls13","ls14","ls15","ls16","ls17","ls18","lsm","lst","ls","codcaptura","tosc","erd"
A-31_16052020,A-31,2020-05-16,23.6,16.4,17.2,22.8,17.6,18.8,17.2,18.6,17.6,17.75,14.711831,13.967394,15.088502,14.589242,100,67,100,89,0,0,0,2.8,,,,,,,,,,C ,E ,C ,C ,0,1,0,0.3,10,9,8,9.0,0.5,3.0,0.1,1,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,7.2,0
A-31_18052020,A-31,2020-05-18,24.2,13.4,14.6,22.8,16.6,17.65,14.6,17.2,15.6,15.75,12.458271,11.911831,12.786318,12.385473,100,57,90,82,25.1,0,0,27.9,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,5,8,3,5.3,5.0,3.0,0.2,2,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,10.8,0
A-31_19052020,A-31,2020-05-19,23.4,14.5,15.4,20,15.8,16.75,14.9,18.8,14.9,15.875,12.451789,15.669713,12.251789,13.457763,95,89,91,92,0,1.5,0,0,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,4,9,4,5.6,5.0,4.0,0.1,1,1,1,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,8.9,1
A-31_20052020,A-31,2020-05-20,23.6,14.4,15.6,22.8,17.4,18.3,15.6,19.8,17,17.35,13.286318,15.815143,14.326607,14.476022,100,76,96,91,2.1,0,0,3.6,,,,,,,,,,C ,C ,C ,C ,0,1,0,0.3,8,9,2,6.3,4.0,3.0,0.2,1,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,9.2,0
A-31_22052020,A-31,2020-05-22,24.4,14.7,15.6,23.8,16.8,18.25,15.6,15.8,16.3,16,13.286318,9.457604,13.644326,12.129416,100,43,95,79,5.2,0,1.1,10.2,,,,,,,,,,C ,C ,W ,C ,0,0,1,0.3,5,6,4,5.0,5.0,6.0,0.1,2,0,1,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,9.7,0
A-31_23052020,A-31,2020-05-23,23.4,15,16.4,21.2,17.8,18.3,16.4,21.2,17.8,18.3,13.983147,18.877352,15.279987,16.046828,100,100,100,100,0,0,0,1.1,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,10,7,10,9.0,0.1,6.0,0.1,1,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,8.4,0
A-31_25052020,A-31,2020-05-25,24,15.4,16,23,17.6,18.55,15.4,18.6,17.6,17.3,12.816948,13.867394,15.088502,13.924281,94,66,100,87,0,0,0,0,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,0,7,0,2.3,6.0,5.0,0.2,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,8.6,1
A-31_24052020,A-31,2020-05-24,22.8,15.2,15.8,22.4,17.2,18.15,15.8,19.8,16.8,17.3,13.457604,16.015143,14.143431,14.538726,100,79,96,92,0,0,0,0,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,0,7,3,3.3,6.0,3.0,0.1,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,7.6,1
A-31_27052020,A-31,2020-05-27,21.9,15.9,17,21.6,15.8,17.55,16.7,15.2,13.2,14.575,14.102605,9.749477,10.07525,11.30911,97,50,75,74,0.2,0.7,0,0.2,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,10,9,3,7.3,0.3,2.0,0.2,1,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,6,0
A-31_29052020,A-31,2020-05-29,21.6,14,15.2,19.2,15.8,16.5,14.4,16,15.8,15.5,11.898213,12.030825,13.457604,12.462214,92,72,100,88,0.5,0,2,0.6,,,,,21:35:00,,,,,C ,NE,NE,NE,0,2,2,1.3,9,9,10,9.3,5.0,4.0,0.01,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,7.6,1
A-31_28052020,A-31,2020-05-28,24,15,17.2,19.4,16.2,17.25,14,16.4,15.8,15.5,10.383506,12.483147,13.257604,12.041419,71,74,96,80,0,0,0.1,0.7,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,8,10,6,8.0,4.0,4.0,0.2,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,9,1
A-31_31052020,A-31,2020-05-31,16.4,15,15.8,15.8,15.9,15.85,15.8,15.8,15.9,15.85,13.457604,13.457604,13.543972,13.486393,100,100,100,100,72.5,51,7.4,83.6,,,,,00:00:00,,,,,NE,NE,N ,NE,6,3,1,3.3,10,10,10,10.0,0.2,0.4,0.01,2,2,1,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,1.4,0
A-31_08052020,A-31,2020-05-08,22.5,14,17,19.9,15.8,17.125,15.9,17.5,15.4,16.05,12.993972,13.79355,12.916948,13.234823,89,79,96,88,0,0,16.9,0,21:00:00,,20:15:00,,,,,,,C ,C ,C ,C ,0,0,0,0.0,6,9,10,8.3,6.0,4.0,0.1,1,0,2,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,8.5,1
A-31_13052020,A-31,2020-05-13,24.1,15.5,17.4,23.9,17.8,19.225,16.9,20.3,17.8,18.2,14.184764,16.059565,15.279987,15.174772,95,72,100,89,0,0,1.6,0,,,,,17:00:00,,,,,C ,C ,C ,C ,0,0,0,0.0,8,7,10,8.3,3.0,5.0,0.1,1,0,1,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,8.6,1
A-31_17052020,A-31,2020-05-17,22,14.9,15.8,21.4,17.2,17.9,15.8,17.9,17,16.925,13.457604,13.626526,14.426607,13.836912,100,71,98,90,0,0,2.8,0,,,21:00:00,,,,,,,C ,C ,C ,C ,0,0,0,0.0,0,7,10,5.6,6.0,4.0,0.1,1,0,1,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,7.1,1
A-31_21052020,A-31,2020-05-21,21.6,14.6,15.6,20.8,17.2,17.7,15.6,18.1,17.2,17.025,13.286318,14.221208,14.711831,14.073119,100,77,100,92,4.6,0,5,4.6,,,,,20:00:00,,,,,C ,C ,C ,C ,0,0,0,0.0,6,8,10,8.0,5.0,4.0,0.1,1,0,2,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,7,0
A-31_26052020,A-31,2020-05-26,25.4,15,16.6,23,17.6,18.7,16.2,17.8,16,16.5,13.606,12.679987,12.830825,13.038937,96,60,85,80,0,0,0,0,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,4,7,8,6.3,6.0,5.0,0.1,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120205,10.4,1
A-31_30052020,A-31,2020-05-30,18.2,14.9,15.4,16.4,15.3,15.6,15.4,16,15.3,15.5,13.116948,13.430825,13.032976,13.193583,100,96,100,99,5.6,4.9,6.2,7.6,,,,,19:10:00,,,,,C ,C ,NE,C ,0,0,1,0.3,10,10,10,10.0,0.2,0.3,0.2,1,1,2,.,.,,,,,,,,,,,,,,,,,,,,,A-3120205,3.3,0
A-31_01092020,A-31,2020-09-01,22,12.6,14,21,16.2,16.85,13.5,17.4,15.2,15.325,11.350088,13.099123,12.449477,12.299562,95,70,90,85,0,0,0,18,,,,,,,,,,C ,C ,NE,C ,0,0,1,0.3,0,7,5,4.0,6.0,4.0,0.2,2,0,0,.,.,,,,,,,,,,,,,,,,,,,,,A-3120209,9.4,0
A-31_02092020,A-31,2020-09-02,22.4,12.2,15.2,22,14.6,16.6,11,13.6,13.2,12.75,7.740213,7.475897,10.67525,8.630453,60,38,86,61,0,0,0,0,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,4,6,4,4.6,6.0,4.0,0.2,1,0,0,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120209,10.2,1
A-31_03092020,A-31,2020-09-03,19.4,13.6,15.4,19.2,14.4,15.85,14.9,15.9,13.8,14.6,12.451789,11.893972,11.528823,11.958194,95,71,94,87,3.5,0.4,2.8,3.5,,,,,16:00:00,,,,,C ,C ,C ,C ,0,0,0,0.0,10,9,10,9.6,0.3,3.0,0.1,2,1,2,.,.,,,,,,,,,,,,,,,,,,,,,A-3120209,5.8,0
A-31_05092020,A-31,2020-09-05,23.8,13,14,22.8,15.2,16.8,13.6,22.3,14.6,16.275,11.475897,19.939917,12.158271,14.524695,96,96,94,95,9.6,0.4,31,71.6,,,,,15:20:00,,,,,C ,C ,C ,C ,0,0,0,0.0,8,10,10,9.3,5.0,2.0,0.1,1,1,2,.,.,,,,,,,,,,,,,,,,,,,,,A-3120209,10.8,0
A-31_06092020,A-31,2020-09-06,21.9,13.5,14.6,18.4,15.2,15.85,14.2,17,14.6,15.1,11.939964,13.826607,12.158271,12.641614,96,87,94,92,0,4.9,12.8,31.4,,,14:30:00,,13:10:00,,,,,C ,C ,C ,C ,0,0,0,0.0,6,10,10,8.6,5.0,0.2,0.01,2,1,2,.,.,,,,,,,,,,,,,,,,,,,,,A-3120209,8.4,0
A-31_07092020,A-31,2020-09-07,22,14.4,15,18.6,14.8,15.8,14.4,16.8,14.4,15,11.998213,13.443431,12.098213,12.513285,94,84,96,91,0.2,9.4,12.8,17.9,,,15:50:00,,12:00:00,,,,,C ,C ,C ,C ,0,0,0,0.0,9,8,10,9.0,4.0,5.0,0.1,1,1,2,.,.,,,,,,,,,,,,,,,,,,,,,A-3120209,7.6,0
A-31_08092020,A-31,2020-09-08,22.2,14,15,21.8,16.4,17.4,14.6,16.1,15.9,15.625,12.258271,10.868167,13.293972,12.140136,96,55,95,82,0,0,1.3,22.2,,,,,,,,,,C ,C ,C ,C ,0,0,0,0.0,3,6,10,6.3,5.0,5.0,0.1,2,0,1,.,.,,,,,,,,,,,,,,,,,,,,,A-3120209,8.2,0
A-31_10092020,A-31,2020-09-10,24,14.8,15.8,23.8,15.6,17.7,14.9,22.8,15.3,17.075,12.251789,20.312438,12.882976,15.149067,91,92,97,93,0,1.2,10.2,0,,,,,14:30:00,,,,,C ,C ,C ,C ,0,0,0,0.0,3,10,10,7.6,6.0,2.0,0.1,1,1,2,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120209,9.2,1
A-31_11092020,A-31,2020-09-11,24.4,14.9,16.2,21.4,16,17.4,14.1,18.2,15,15.575,11.011512,14.069357,12.283885,12.454918,80,74,90,81,0,0,0.4,11.4,,,,,,,,,,NE,C ,N ,NE,2,0,1,1.0,9,7,6,7.3,5.0,5.0,0.1,1,0,1,.,.,,,,,,,,,,,,,,,,,,,,,A-3120209,9.5,0
A-31_12092020,A-31,2020-09-12,22.2,14.8,16.8,18.6,15.2,16.45,13.8,17.5,14.8,15.225,10.328823,14.44355,12.420156,12.397509,72,90,96,86,0,3.8,5.7,0.4,,,,,,,,,,NE,C ,C ,C ,1,0,0,0.3,4,10,7,7.0,6.0,0.2,0.1,1,1,2,"2",.,,,,,,,,,,,,,,,,,,,,,A-3120209,7.4,1
A-31_14092020,A-31,2020-09-14,21.8,13.7,14.6,21.2,16.2,17.05,14.2,17.8,15.4,15.7,11.939964,13.579987,12.716948,12.745633,96,72,92,87,11.4,0,11.8,55.6,,,16:00:00,,,,,,,C ,C ,C ,C ,0,0,0,0.0,4,7,10,7.0,6.0,4.0,0.1,2,0,2,.,.,,,,,,,,,,,,,,,,,,,,,A-3120209,8.1,0
A-31_15092020,A-31,2020-09-15,23.6,14.2,15.8,21.6,16.4,17.55,15.4,18.6,15.9,16.45,12.916948,14.567394,13.293972,13.592771,96,75,95,89,4.7,0,3,16.5,,,21:30:00,,20:10:00,,,,,C ,NE,C ,C ,0,1,0,0.3,6,9,10,8.3,5.0,3.0,0.1,2,0,2,.,.,,,,,,,,,,,,,,,,,,,,,A-3120209,9.4,0
